Data;pib
jan/00;92.576,60
fev/00;91.770,40
mar/00;92.579,90
abr/00;91.376,20
mai/00;98.727,00
jun/00;102.685,40
jul/00;103.410,40
ago/00;105.177,80
set/00;100.307,60
out/00;106.951,10
nov/00;107.678,00
dez/00;105.851,60
jan/01;102.530,70
fev/01;101.635,30
mar/01;108.303,80
abr/01;107.572,00
mai/01;111.202,20
jun/01;104.949,40
jul/01;110.758,90
ago/01;113.064,70
set/01;108.700,80
out/01;116.139,00
nov/01;117.882,00
dez/01;113.016,70
jan/02;112.374,80
fev/02;111.477,10
mar/02;118.444,70
abr/02;120.385,90
mai/02;123.552,50
jun/02;123.424,40
jul/02;126.856,60
ago/02;127.800,10
set/02;125.137,80
out/02;133.125,40
nov/02;135.966,60
dez/02;130.241,20
jan/03;125.713,70
fev/03;131.377,70
mar/03;140.150,30
abr/03;141.001,30
mai/03;140.056,90
jun/03;137.929,20
jul/03;144.627,10
ago/03;144.366,40
set/03;150.356,30
out/03;158.347,60
nov/03;154.764,90
dez/03;149.259,20
jan/04;142.455,00
fev/04;141.654,60
mar/04;160.673,90
abr/04;159.113,90
mai/04;160.112,10
jun/04;162.569,00
jul/04;168.216,40
ago/04;168.068,50
set/04;168.967,40
out/04;174.390,50
nov/04;178.012,00
dez/04;173.518,00
jan/05;161.646,60
fev/05;159.966,70
mar/05;178.097,10
abr/05;177.918,10
mai/05;178.129,50
jun/05;179.509,80
jul/05;181.673,20
ago/05;186.712,80
set/05;184.473,10
out/05;192.948,30
nov/05;196.419,80
dez/05;193.089,50
jan/06;181.707,70
fev/06;176.988,50
mar/06;195.574,30
abr/06;188.585,80
mai/06;198.731,50
jun/06;194.659,50
jul/06;203.488,60
ago/06;208.799,80
set/06;205.559,30
out/06;219.035,00
nov/06;220.981,60
dez/06;215.338,30
jan/07;206.662,30
fev/07;201.552,10
mar/07;223.208,60
abr/07;218.931,20
mai/07;227.535,30
jun/07;224.188,20
jul/07;230.916,30
ago/07;233.905,10
set/07;227.024,50
out/07;245.688,00
nov/07;243.269,20
dez/07;237.382,10
jan/08;232.824,80
fev/08;231.982,20
mar/08;247.248,30
abr/08;253.194,40
mai/08;255.747,40
jun/08;260.583,40
jul/08;271.290,40
ago/08;268.546,10
set/08;272.766,10
out/08;284.913,70
nov/08;272.120,80
dez/08;258.585,60
jan/09;244.784,10
fev/09;242.496,90
mar/09;268.846,10
abr/09;263.434,90
mai/09;268.734,40
jun/09;271.408,20
jul/09;281.453,70
ago/09;282.514,80
set/09;288.874,70
out/09;309.141,30
nov/09;307.943,50
dez/09;303.406,80
jan/10;284.387,80
fev/10;283.355,00
mar/10;318.654,60
abr/10;311.649,10
