Data;carne
2000.01;88,2
2000.02;89,05
2000.03;90,46
2000.04;90,05
2000.05;90,9
2000.06;88,0568
2000.07;86,9286
2000.08;86,3913
2000.09;82,6919
2000.10;82,875
2000.11;89,7159
2000.12;88,15
2001.01;87,8068
2001.02;87,5625
2001.03;91,0582
2001.04;90,1125
2001.05;91,4886
2001.06;94,4524
2001.07;98,4545
2001.08;101,8043
2001.09;107,25
2001.10;103,3913
2001.11;104,275
2001.12;100,8333
2002.01;101,0455
2002.02;102,95
2002.03;109,025
2002.04;103,7386
2002.05;96,4674
2002.06;93,8947
2002.07;96,9048
2002.08;95,7273
2002.09;92,5625
2002.10;86,967
2002.11;81,5625
2002.12;84
2003.01;85,35
2003.02;83,75
2003.03;83,875
2003.04;82,625
2003.05;79,3
2003.06;78,25
2003.07;81
2003.08;91,125
2003.09;97
2003.10;98,4
2003.11;110,75
2003.12;105,4
2004.01;107,06
2004.02;99,5
2004.03;97,25
2004.04;102,1
2004.05;114,625
2004.06;116,75
2004.07;120,3
2004.08;126,75
2004.09;127,875
2004.10;119,5
2004.11;118,375
2004.12;116,8
2005.01;115,25
2005.02;117,375
2005.03;120
2005.04;118,2
2005.05;121,45
2005.06;120,325
2005.07;122,6
2005.08;120
2005.09;120,3
2005.10;116,5
2005.11;117,25
2005.12;115,5
2006.01;113,625
2006.02;114,75
2006.03;111,9
2006.04;112,575
2006.05;112,5
2006.06;111,7
2006.07;115,125
2006.08;117,625
2006.09;117,5
2006.10;117,875
2006.11;121,25
2006.12;121,2
2007.01;119,25
2007.02;118,375
2007.03;118,4
2007.04;117,625
2007.05;116,625
2007.06;119
2007.07;117,5
2007.08;118,4
2007.09;118,25
2007.10;115,875
2007.11;117,66
2007.12;119,5
2008.01;121,325
2008.02;127,7
2008.03;106,7
2008.04;103,75
2008.05;124,2
2008.06;129,5
2008.07;133
2008.08;135,5
2008.09;129,4
2008.10;115,9167
2008.11;115
2008.12;111,25
2009.01;114,125
2009.02;107,125
2009.03;112,375
2009.04;115,5
2009.05;119,6
2009.06;122,125
2009.07;124
2009.08;124
2009.09;124,125
2009.10;120,5
2009.11;125
2009.12;127
2010.01;133,875
2010.02;141,75
2010.03;152,1
2010.04;164,75
2010.05;157,75
2010.06;144,8056
2010.07;145,3864
2010.08;152,5
2010.09;152,5
2010.10;154,75
2010.11;156,5
2010.12;173,0278
2011.01;185,625
2011.02;183,725
2011.03;187,7174
2011.04;193
2011.05;184,1136
2011.06;178,3636
2011.07;177,7619
2011.08;180,8478
2011.09;175,9318
2011.10;174,2813
2011.11;186,6818
2011.12;190,0909
