"Tabela 1737 - IPCA - Série histórica com número-índice, variação mensal e variações acumuladas em 3 meses, em 6 meses, no ano e em 12 meses (a partir de dezembro/1979)"
"Variável - IPCA - Variação mensal (%)"
"Mês";"";""
"dezembro 1979";"Brasil";"..."
"janeiro 1980";"Brasil";"6,62"
"fevereiro 1980";"Brasil";"4,62"
"março 1980";"Brasil";"6,04"
"abril 1980";"Brasil";"5,29"
"maio 1980";"Brasil";"5,70"
"junho 1980";"Brasil";"5,31"
"julho 1980";"Brasil";"5,55"
"agosto 1980";"Brasil";"4,95"
"setembro 1980";"Brasil";"4,23"
"outubro 1980";"Brasil";"9,48"
"novembro 1980";"Brasil";"6,67"
"dezembro 1980";"Brasil";"6,61"
"janeiro 1981";"Brasil";"6,84"
"fevereiro 1981";"Brasil";"6,40"
"março 1981";"Brasil";"4,97"
"abril 1981";"Brasil";"6,46"
"maio 1981";"Brasil";"5,56"
"junho 1981";"Brasil";"5,52"
"julho 1981";"Brasil";"6,26"
"agosto 1981";"Brasil";"5,50"
"setembro 1981";"Brasil";"5,26"
"outubro 1981";"Brasil";"5,08"
"novembro 1981";"Brasil";"5,27"
"dezembro 1981";"Brasil";"5,93"
"janeiro 1982";"Brasil";"6,97"
"fevereiro 1982";"Brasil";"6,64"
"março 1982";"Brasil";"5,71"
"abril 1982";"Brasil";"5,89"
"maio 1982";"Brasil";"6,66"
"junho 1982";"Brasil";"7,10"
"julho 1982";"Brasil";"6,36"
"agosto 1982";"Brasil";"5,97"
"setembro 1982";"Brasil";"5,08"
"outubro 1982";"Brasil";"4,44"
"novembro 1982";"Brasil";"5,29"
"dezembro 1982";"Brasil";"7,81"
"janeiro 1983";"Brasil";"8,64"
"fevereiro 1983";"Brasil";"7,86"
"março 1983";"Brasil";"7,34"
"abril 1983";"Brasil";"6,58"
"maio 1983";"Brasil";"6,48"
"junho 1983";"Brasil";"9,88"
"julho 1983";"Brasil";"10,08"
"agosto 1983";"Brasil";"9,11"
"setembro 1983";"Brasil";"10,30"
"outubro 1983";"Brasil";"8,87"
"novembro 1983";"Brasil";"7,38"
"dezembro 1983";"Brasil";"8,68"
"janeiro 1984";"Brasil";"9,67"
"fevereiro 1984";"Brasil";"9,50"
"março 1984";"Brasil";"8,94"
"abril 1984";"Brasil";"9,54"
"maio 1984";"Brasil";"9,05"
"junho 1984";"Brasil";"10,08"
"julho 1984";"Brasil";"9,72"
"agosto 1984";"Brasil";"9,35"
"setembro 1984";"Brasil";"11,75"
"outubro 1984";"Brasil";"10,44"
"novembro 1984";"Brasil";"10,53"
"dezembro 1984";"Brasil";"11,98"
"janeiro 1985";"Brasil";"11,76"
"fevereiro 1985";"Brasil";"10,87"
"março 1985";"Brasil";"10,16"
"abril 1985";"Brasil";"8,20"
"maio 1985";"Brasil";"7,20"
"junho 1985";"Brasil";"8,49"
"julho 1985";"Brasil";"10,31"
"agosto 1985";"Brasil";"12,05"
"setembro 1985";"Brasil";"11,12"
"outubro 1985";"Brasil";"10,62"
"novembro 1985";"Brasil";"13,97"
"dezembro 1985";"Brasil";"15,07"
"janeiro 1986";"Brasil";"14,37"
"fevereiro 1986";"Brasil";"12,72"
"março 1986";"Brasil";"4,77"
"abril 1986";"Brasil";"0,78"
"maio 1986";"Brasil";"1,40"
"junho 1986";"Brasil";"1,27"
"julho 1986";"Brasil";"1,71"
"agosto 1986";"Brasil";"3,55"
"setembro 1986";"Brasil";"1,72"
"outubro 1986";"Brasil";"1,90"
"novembro 1986";"Brasil";"5,45"
"dezembro 1986";"Brasil";"11,65"
"janeiro 1987";"Brasil";"13,21"
"fevereiro 1987";"Brasil";"12,64"
"março 1987";"Brasil";"16,37"
"abril 1987";"Brasil";"19,10"
"maio 1987";"Brasil";"21,45"
"junho 1987";"Brasil";"19,71"
"julho 1987";"Brasil";"9,21"
"agosto 1987";"Brasil";"4,87"
"setembro 1987";"Brasil";"7,78"
"outubro 1987";"Brasil";"11,22"
"novembro 1987";"Brasil";"15,08"
"dezembro 1987";"Brasil";"14,15"
"janeiro 1988";"Brasil";"18,89"
"fevereiro 1988";"Brasil";"15,70"
"março 1988";"Brasil";"17,60"
"abril 1988";"Brasil";"19,29"
"maio 1988";"Brasil";"17,42"
"junho 1988";"Brasil";"22,00"
"julho 1988";"Brasil";"21,91"
"agosto 1988";"Brasil";"21,59"
"setembro 1988";"Brasil";"27,45"
"outubro 1988";"Brasil";"25,62"
"novembro 1988";"Brasil";"27,94"
"dezembro 1988";"Brasil";"28,70"
"janeiro 1989";"Brasil";"37,49"
"fevereiro 1989";"Brasil";"16,78"
"março 1989";"Brasil";"6,82"
"abril 1989";"Brasil";"8,33"
"maio 1989";"Brasil";"17,92"
"junho 1989";"Brasil";"28,65"
"julho 1989";"Brasil";"27,74"
"agosto 1989";"Brasil";"33,71"
"setembro 1989";"Brasil";"37,56"
"outubro 1989";"Brasil";"39,77"
"novembro 1989";"Brasil";"47,82"
"dezembro 1989";"Brasil";"51,50"
"janeiro 1990";"Brasil";"67,55"
"fevereiro 1990";"Brasil";"75,73"
"março 1990";"Brasil";"82,39"
"abril 1990";"Brasil";"15,52"
"maio 1990";"Brasil";"7,59"
"junho 1990";"Brasil";"11,75"
"julho 1990";"Brasil";"12,92"
"agosto 1990";"Brasil";"12,88"
"setembro 1990";"Brasil";"14,41"
"outubro 1990";"Brasil";"14,36"
"novembro 1990";"Brasil";"16,81"
"dezembro 1990";"Brasil";"18,44"
"janeiro 1991";"Brasil";"20,75"
"fevereiro 1991";"Brasil";"20,72"
"março 1991";"Brasil";"11,92"
"abril 1991";"Brasil";"4,99"
"maio 1991";"Brasil";"7,43"
"junho 1991";"Brasil";"11,19"
"julho 1991";"Brasil";"12,41"
"agosto 1991";"Brasil";"15,63"
"setembro 1991";"Brasil";"15,63"
"outubro 1991";"Brasil";"20,23"
"novembro 1991";"Brasil";"25,21"
"dezembro 1991";"Brasil";"23,71"
"janeiro 1992";"Brasil";"25,94"
"fevereiro 1992";"Brasil";"24,32"
