"Tabela 7060 - IPCA - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (a partir de janeiro/2020)"
"Mês";"Variável x Geral, grupo, subgrupo, item e subitem"
"Mês";"Brasil"
"Mês";"IPCA - Variação mensal (%)"
"Mês";"Índice geral";"1.Alimentação e bebidas";"2.Habitação";"3.Artigos de residência";"4.Vestuário";"5.Transportes";"6.Saúde e cuidados pessoais";"7.Despesas pessoais";"8.Educação";"9.Comunicação"
"janeiro 2020";"0,21";"0,39";"0,55";"-0,07";"-0,48";"0,32";"-0,32";"0,35";"0,16";"0,12"
"fevereiro 2020";"0,25";"0,11";"-0,39";"-0,08";"-0,73";"-0,23";"0,73";"0,31";"3,70";"0,21"
"março 2020";"0,07";"1,13";"0,13";"-1,08";"0,21";"-0,90";"0,21";"-0,23";"0,59";"0,04"
"abril 2020";"-0,31";"1,79";"-0,10";"-1,37";"0,10";"-2,66";"-0,22";"-0,14";"0,00";"-0,20"
"maio 2020";"-0,38";"0,24";"-0,25";"0,58";"-0,58";"-1,90";"-0,10";"-0,04";"0,02";"0,24"
"junho 2020";"0,26";"0,38";"0,04";"1,30";"-0,46";"0,31";"0,35";"-0,05";"0,05";"0,75"
"julho 2020";"0,36";"0,01";"0,80";"0,90";"-0,52";"0,78";"0,44";"-0,11";"-0,12";"0,51"
"agosto 2020";"0,24";"0,78";"0,36";"0,56";"-0,78";"0,82";"0,50";"-0,01";"-3,47";"0,67"
"setembro 2020";"0,64";"2,28";"0,37";"1,00";"0,37";"0,70";"-0,64";"0,09";"-0,09";"0,15"
"outubro 2020";"0,86";"1,93";"0,36";"1,53";"1,11";"1,19";"0,28";"0,19";"-0,04";"0,21"
"novembro 2020";"0,89";"2,54";"0,44";"0,86";"0,07";"1,33";"-0,13";"0,01";"-0,02";"0,29"
"dezembro 2020";"1,35";"1,74";"2,88";"1,76";"0,59";"1,36";"0,40";"0,65";"0,48";"0,39"
"janeiro 2021";"0,25";"1,02";"-1,07";"0,86";"-0,07";"0,41";"0,32";"0,39";"0,13";"0,02"
"fevereiro 2021";"0,86";"0,27";"0,40";"0,66";"0,38";"2,28";"0,62";"0,17";"2,48";"-0,13"
"março 2021";"0,93";"0,13";"0,81";"0,69";"0,29";"3,81";"-0,02";"0,04";"-0,52";"-0,07"
