Data;milho
2000.01;92,9533
2000.02;95,0816
2000.03;95,1694
2000.04;95,5394
2000.05;95,5306
2000.06;84,0395
2000.07;75,0574
2000.08;75,2405
2000.09;80,1506
2000.10;84,7073
2000.11;88,9371
2000.12;96,2242
2001.01;94,2972
2001.02;92,3775
2001.03;91,0122
2001.04;87,5451
2001.05;85,0775
2001.06;83,1607
2001.07;90,7547
2001.08;92,879
2001.09;89,744
2001.10;86,2677
2001.11;89,8826
2001.12;92,3115
2002.01;91,967
2002.02;90,7282
2002.03;89,8579
2002.04;87,1066
2002.05;90,3313
2002.06;93,1698
2002.07;99,7
2002.08;109,891
2002.09;113,9415
2002.10;109,6468
2002.11;108,6464
2002.12;107,0126
2003.01;105,8443
2003.02;106,1411
2003.03;105,1319
2003.04;105,3381
2003.05;107,9064
2003.06;107,0253
2003.07;97,6707
2003.08;100,3496
2003.09;103,2385
2003.10;104,206
2003.11;108,1005
2003.12;111,9922
2004.01;116,2456
2004.02;122,9324
2004.03;128,4602
2004.04;133,4395
2004.05;129,2852
2004.06;123,2788
2004.07;104,4945
2004.08;104,0931
2004.09;97,7269
2004.10;93,4151
2004.11;93,7585
2004.12;95,6085
2005.01;96,0388
2005.02;94,3594
2005.03;100,014
2005.04;96,4709
2005.05;95,3648
2005.06;97,6153
2005.07;105,6643
2005.08;99,2866
2005.09;97,0708
2005.10;101,5512
2005.11;95,9797
2005.12;102,6761
2006.01;102,7904
2006.02;106,9365
2006.03;104,9521
2006.04;107,9103
2006.05;110,6247
2006.06;109,6124
2006.07;114,3056
2006.08;115,2773
2006.09;120,2699
2006.10;142,2624
2006.11;164,1064
2006.12;160,7207
2007.01;165,16
2007.02;177,3849
2007.03;169,5833
2007.04;152,6306
2007.05;160,1392
2007.06;164,5373
2007.07;147,2164
2007.08;151,0308
2007.09;160,125
2007.10;164,1141
2007.11;171,1139
2007.12;180,2833
2008.01;206,5588
2008.02;220,0476
2008.03;233,9259
2008.04;246,6419
2008.05;243,5318
2008.06;287,1321
2008.07;267,1415
2008.08;235,1595
2008.09;233,9456
2008.10;183,0247
2008.11;164,3044
2008.12;158,9098
2009.01;173,2951
2009.02;163,4
2009.03;164,577
2009.04;168,7959
2009.05;180,0702
2009.06;179,3938
2009.07;151,8003
2009.08;152,0363
2009.09;150,5928
2009.10;167,2791
2009.11;171,6869
2009.12;164,6128
2010.01;167,3356
2010.02;161,907
2010.03;158,9278
2010.04;157,2666
2010.05;163,2403
2010.06;152,8739
2010.07;163,9217
2010.08;175,6001
2010.09;205,8395
2010.10;235,7031
2010.11;238,2367
2010.12;250,6256
2011.01;265,2855
2011.02;293,3968
2011.03;290,4347
