Data;petroleo
2000.01;25,4057
2000.02;27,371
2000.03;27,4945
2000.04;23,767
2000.05;27,4242
2000.06;29,8315
2000.07;28,3386
2000.08;30,0064
2000.09;32,4386
2000.10;31,6495
2000.11;32,6065
2000.12;25,3186
2001.01;25,9588
2001.02;27,4313
2001.03;25,2842
2001.04;25,9063
2001.05;27,4903
2001.06;27,109
2001.07;24,9436
2001.08;25,9222
2001.09;25,4288
2001.10;21,0567
2001.11;18,7288
2001.12;18,6146
2002.01;19,3306
2002.02;20,1582
2002.03;23,8267
2002.04;25,5108
2002.05;25,7197
2002.06;24,5733
2002.07;25,7604
2002.08;26,7408
2002.09;28,3241
2002.10;27,4483
2002.11;24,6505
2002.12;27,963
2003.01;30,5339
2003.02;32,926
2003.03;30,3029
2003.04;25,6503
2003.05;26,0852
2003.06;27,9868
2003.07;28,6617
2003.08;29,7275
2003.09;26,9327
2003.10;29,0203
2003.11;29,1052
2003.12;29,9748
2004.01;31,3967
2004.02;31,4503
2004.03;33,5806
2004.04;33,9036
2004.05;37,5376
2004.06;35,6826
2004.07;37,9853
2004.08;41,9244
2004.09;41,7195
2004.10;47,0394
2004.11;42,3332
2004.12;39,1274
2005.01;43,1622
2005.02;44,4615
2005.03;51,1326
2005.04;50,9124
2005.05;48,0939
2005.06;54,0812
2005.07;56,4367
2005.08;61,9178
2005.09;61,9492
2005.10;58,2873
2005.11;55,053
2005.12;56,5877
2006.01;62,3358
2006.02;59,8955
2006.03;61,3639
2006.04;68,1837
2006.05;68,9235
2006.06;68,4517
2006.07;72,4721
2006.08;71,7658
2006.09;62,0856
2006.10;57,9927
2006.11;58,4468
2006.12;60,9013
2007.01;53,7071
2007.02;57,7058
2007.03;60,6426
2007.04;65,1786
2007.05;65,2365
2007.06;68,101
2007.07;73,4347
2007.08;70,3481
2007.09;76,6167
2007.10;82,1246
2007.11;91,3238
2007.12;89,851
2008.01;90,7657
2008.02;93,383
2008.03;101,6798
2008.04;108,7441
2008.05;122,9498
2008.06;131,6348
2008.07;132,542
2008.08;114,3722
2008.09;99,8252
2008.10;71,9278
2008.11;53,1925
2008.12;40,1919
2009.01;42,8508
2009.02;41,373
2009.03;46,4341
2009.04;49,757
2009.05;58,0305
2009.06;68,702
2009.07;64,8784
2009.08;71,804
2009.09;68,1526
2009.10;74,0052
2009.11;77,3383
2009.12;74,692
2010.01;77,0962
2010.02;74,646
2010.03;79,6394
2010.04;84,3127
2010.05;75,3698
2010.06;74,945
2010.07;74,8211
2010.08;76,0152
2010.09;76,3397
2010.10;81,8943
2010.11;84,4682
2010.12;90,1862
2011.01;93,0594
2011.02;97,7712
2011.03;108,6301
2011.04;116,431
2011.05;108,152
2011.06;106,0302
2011.07;108,5029
2011.08;100,532
2011.09;100,7712
2011.10;100,154
2011.11;105,0215
2011.12;103,7685
2012.01;106,7073
2012.02;112,713
2012.03;117,8297
2012.04;113,7643
2012.05;104,3359
2012.06;90,9092
2012.07;96,9544
2012.08;105,6178
2012.09;106,3998
2012.10;103,272
2012.11;101,2461
2012.12;101,4098
2013.01;105,148
2013.02;107,6397
2013.03;102,8297
2013.04;98,8409
2013.05;99,423
2013.06;99,8378
2013.07;105,3449
2013.08;108,1883
2013.09;108,8106
2013.10;105,6806
2013.11;102,6871
2013.12;105,6311
2014.01;102,2193
2014.02;104,9338
2014.03;104,2602
2014.04;104,9998
2014.05;105,7876
2014.06;108,5479
2014.07;105,4562
2014.08;100,109
2014.09;95,8348
2014.10;86,1229
2014.11;77,0188
2014.12;60,623
2015.01;47,6609
2015.02;55,0103
2015.03;52,8745
2015.04;57,5462
2015.05;62,5868
2015.06;61,4153
2015.07;54,6719
2015.08;46,1425
2015.09;46,2439
2015.10;47,0115
2015.11;43,0925
2015.12;36,6865
2016.01;30,4292
2016.02;31,271
2016.03;37,7146
2016.04;41,2287
2016.05;46,3089
2016.06;48,3283
2016.07;44,6465
2016.08;45,2577
2016.09;45,4177
2016.10;50,0086
2016.11;45,4842
2016.12;53,0708
2017.01;53,9473
2017.02;54,6137
2017.03;51,0132
2017.04;52,5688
2017.05;50,0228
2017.06;46,3982
2017.07;47,8759
2017.08;50,0817
2017.09;53,0721
2017.10;54,9614
2017.11;60,0538
2017.12;61,123
2018.01;66,1662
2018.02;63,5182
2018.03;64,5465
2018.04;68,9713
2018.05;73,637
2018.06;72,3302
2018.07;73,0244
2018.08;71,4578
2018.09;75,4262
2018.10;76,7664
2018.11;62,3676
2018.12;54,1787
2019.01;56,7771
2019.02;61,3093
2019.03;64,0216
2019.04;68,762
2019.05;66,5988
2019.06;59,5965
2019.07;61,5197
2019.08;57,6509
2019.09;60,049
2019.10;57,4852
2019.11;60,1948
2019.12;63,223
2020.01;61,5803
2020.02;53,4492
2020.03;32,2589
2020.04;23,3388
2020.05;31,2689
2020.06;39,7479
2020.07;42,1816
2020.08;43,7898
2020.09;40,9661
2020.10;40,6088
2020.11;42,971
2020.12;49,0248
2021.01;53,907
2021.02;60,9492
2021.03;64,0893
2021.04;63,3594
2021.05;66,6287
2021.06;72,0645
2021.07;73,0439
2021.08;69,0639
2021.09;73,0142
2021.10;82,2222
2021.11;79,5479
2021.12;73,1094
2022.01;84,117
2022.02;92,4667
2022.03;109,4757
2022.04;103,6321
2022.05;109,8959
2022.06;114,7427
2022.07;102,4965
2022.08;95,6762
2022.09;88,2503
2022.10;90,74
2022.11;86,538
2022.12;78,3136
2023.01;81,0794
2023.02;80,645
2023.03;76,9586
2023.04;82,0237
2023.05;74,07
2023.06;73,3371
2023.07;78,8405
2023.08;84,2213
2023.09;91,7176
2023.10;87,7348
2023.11;80,8009
2023.12;75,71
2024.01;77,5651
2024.02;80,6562
2024.03;84,3337
2024.04;88,3971
2024.05;82,5591
2024.06;82,3142
2024.07;83,7326
2024.08;78,597
2024.09;72,4192
2024.10;74,5003
2024.11;72,5143
2024.12;72,4609
2025.01;78,2145
2025.02;74,352
2025.03;70,9862
2025.04;66,3411
2025.05;63,3002
2025.06;69,2487
2025.07;69,6625
2025.08;67,1656
2025.09;67,1685
2025.10;63,1449
2025.11;62,6975
