Data;soja
2000.01;180,3837
2000.02;185,758
2000.03;190,9715
2000.04;197,1037
2000.05;200,8703
2000.06;186,9522
2000.07;169,4972
2000.08;167,8666
2000.09;180,4526
2000.10;173,6084
2000.11;177,1912
2000.12;185,9647
2001.01;175,4228
2001.02;167,4532
2001.03;164,3756
2001.04;158,6108
2001.05;163,8703
2001.06;170,2322
2001.07;186,6537
2001.08;182,7493
2001.09;172,3452
2001.10;160,6319
2001.11;162,5612
2001.12;160,1496
2002.01;160,0578
2002.02;160,1956
2002.03;168,6934
2002.04;171,3576
2002.05;176,64
2002.06;185,3675
2002.07;209,0925
2002.08;208,2198
2002.09;208,2198
2002.10;200,0894
2002.11;210,2179
2002.12;208,2428
2003.01;208,6736
2003.02;209,6131
2003.03;210,2221
2003.04;221,7089
2003.05;232,4127
2003.06;229,775
2003.07;214,0321
2003.08;208,2187
2003.09;231,6996
2003.10;268,9878
2003.11;279,7211
2003.12;283,1854
2004.01;300,8988
2004.02;316,5518
2004.03;360,6754
2004.04;363,5045
2004.05;347,871
2004.06;320,2297
2004.07;289,7853
2004.08;225,79
2004.09;206,4471
2004.10;193,4337
2004.11;195,8177
2004.12;198,591
2005.01;195,6648
2005.02;197,5892
2005.03;233,1805
2005.04;228,7645
2005.05;233,4625
2005.06;254,7424
2005.07;253,3478
2005.08;230,4269
2005.09;212,0155
2005.10;211,1669
2005.11;210,9001
2005.12;216,5429
2006.01;214,0091
2006.02;214,3656
2006.03;212,7141
2006.04;208,9024
2006.05;217,3557
2006.06;216,5039
2006.07;217,2517
2006.08;203,8437
2006.09;199,307
2006.10;217,886
2006.11;244
2006.12;243,3076
2007.01;255,8674
2007.02;278,0386
2007.03;276,9598
2007.04;270,3923
2007.05;283,2062
2007.06;302,8293
2007.07;313,4763
2007.08;309,0065
2007.09;347,5616
2007.10;358,4028
2007.11;389,0152
2007.12;423,0807
2008.01;461,7152
2008.02;508,2159
2008.03;495,6909
2008.04;482,7913
2008.05;489,0893
2008.06;552,4721
2008.07;554,1493
2008.08;471,0674
2008.09;433,3832
2008.10;338,7849
2008.11;329,1365
2008.12;318,8142
2009.01;364,718
2009.02;341,2716
2009.03;333,6578
2009.04;374,4664
2009.05;422,3551
2009.06;445,1082
2009.07;398,0888
2009.08;408,9574
2009.09;349,052
2009.10;354,8648
2009.11;370,7072
2009.12;379,2994
2010.01;358,9666
2010.02;344,6607
2010.03;348,9493
2010.04;357,6387
2010.05;349,0514
2010.06;348,514
2010.07;370,9758
2010.08;379,4622
2010.09;390,2312
2010.10;427,1761
2010.11;459,9611
2010.12;483,7559
2011.01;511,1049
2011.02;512,0525
2011.03;498,7398
2011.04;501,4688
2011.05;498,7651
2011.06;499,7728
2011.07;501,8271
2011.08;501,4237
2011.09;490,909
2011.10;446,016
2011.11;428,8252
2011.12;420,0461
2012.01;441,7328
2012.02;461,556
2012.03;496,2905
2012.04;529,4216
2012.05;520,9255
2012.06;522,3292
2012.07;609,4468
2012.08;622,9135
2012.09;615,1814
2012.10;565,5255
2012.11;533,0286
2012.12;534,7908
2013.01;526,0473
2013.02;536,3758
2013.03;536,0814
2013.04;517,7897
2013.05;542,1992
2013.06;560,1577
2013.07;548,3496
2013.08;498,0483
2013.09;503,2371
2013.10;472,8275
2013.11;476,6622
2013.12;488,6693
2014.01;476,1021
2014.02;496,799
2014.03;522,0011
2014.04;547,1881
2014.05;546,0333
2014.06;528,0026
2014.07;463,2337
2014.08;432,9851
2014.09;368,8499
2014.10;354,4409
2014.11;379,3449
2014.12;378,7816
2015.01;367,4921
2015.02;364,7392
2015.03;359,5956
2015.04;356,9257
2015.05;351,9495
2015.06;354,8231
2015.07;372,3473
2015.08;347,0224
2015.09;323,5545
2015.10;327,4198
2015.11;319,0823
2015.12;323,3153
2016.01;323,2044
2016.02;320,1295
2016.03;326,9354
2016.04;353,8025
2016.05;388,5121
2016.06;421,2289
2016.07;390,4018
2016.08;370,3166
2016.09;355,9021
2016.10;358,3867
2016.11;368,3731
2016.12;375,2888
2017.01;379,59
2017.02;380,8726
2017.03;366,0951
2017.04;347,8613
2017.05;350,18
2017.06;339,7289
2017.07;365,4528
2017.08;345,4107
2017.09;353,8602
2017.10;358,2761
2017.11;361,4093
2017.12;357,1534
2018.01;356,8688
2018.02;371,2322
2018.03;381,8939
2018.04;381,2684
2018.05;374,8484
2018.06;339,958
2018.07;312,562
2018.08;316,6588
2018.09;306,4328
2018.10;315,852
2018.11;322,2816
2018.12;330,482
2019.01;333,7771
2019.02;334,503
2019.03;329,2367
2019.04;324,2544
2019.05;305,3109
2019.06;326,6147
2019.07;325,4698
2019.08;314,6263
2019.09;322,4535
2019.10;339,8712
2019.11;332,9576
2019.12;334,9494
2020.01;337,0797
2020.02;325,4283
2020.03;319,3362
2020.04;309,9943
2020.05;309,3314
2020.06;318,643
2020.07;328,9354
2020.08;332,1412
2020.09;366,8246
2020.10;387,5751
2020.11;419,5855
2020.12;443,6551
2021.01;504,3121
2021.02;507,8173
2021.03;519,8794
2021.04;537,4184
2021.05;576,9679
2021.06;537,3557
2021.07;523,5715
2021.08;504,0401
2021.09;469,4401
2021.10;452,0219
2021.11;454,5764
2021.12;473,81
2022.01;514,4485
2022.02;583,693
2022.03;617,1983
2022.04;618,1384
2022.05;617,123
2022.06;621,1982
2022.07;571,0015
2022.08;576,8242
2022.09;537,552
2022.10;507,5442
2022.11;529,7481
2022.12;541,8318
2023.01;555,5063
2023.02;561,2922
2023.03;547,2255
2023.04;546,8749
2023.05;508,3451
2023.06;526,295
2023.07;555,1142
2023.08;510,1503
2023.09;487,1515
2023.10;471,9311
2023.11;494,3489
2023.12;481,4868
2024.01;452,6265
2024.02;429,7263
2024.03;433,5275
2024.04;427,9221
2024.05;447,4943
2024.06;430,9715
2024.07;411,0821
2024.08;361,8294
2024.09;372,0956
2024.10;368,4914
2024.11;365,5167
2024.12;361,2365
2025.01;377,853
2025.02;382,084
2025.03;369,3442
2025.04;378,0662
2025.05;387,65
2025.06;383,5207
2025.07;374,7693
2025.08;372,9628
2025.09;368,5744
2025.10;371,5741
2025.11;410,1694
